Month-Year,Citytrain: On-time running (combined peaks),Citytrain: Reliability
Dec-2023,0.9314,0.992722
Jan-2024,0.9328,0.995508
Feb-2024,0.9173,0.99266
Mar-2024,0.8881,0.99363
Apr-2024,0.9228,0.995784
May-2024,0.9395,0.997362
Jun-2024,0.9103,0.994849
Jul-2024,0.927973,0.996764
Aug-2024,0.957893,0.997747
Sep-2024,0.962417,0.998335
Oct-2024,0.950307,0.997438
Nov-2024,0.931863,0.994092
Dec-2024,0.9071,0.98658
Jan-2025,0.957321,0.997698
Feb-2025,0.925723,0.99625
Mar-2025,0.938537,0.997249
Apr-2025,0.93603,0.996757
May-2025,0.915633,0.996204
Jun-2025,0.942094,0.99635
Jul-2025,0.9167,0.9958
Aug-2025,0.9486,0.997
Sep-2025,0.9095,0.9904
Oct-2025,0.9495,0.9978
Nov-2025,0.9317,0.9946
Dec-2025,0.9609,0.9959
Jan-2026,0.96,0.9969
Feb-2026,0.9233,0.9961
Mar-2026,0.9092,0.9937
