Categories,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
NETWORK-Availability of information needed to plan a trip,4.07,4.14,4.13,4.07,4.22,4.24
NETWORK-Ease of transferring,3.96,3.86,4.08,4.02,4.10,4.07
NETWORK-Ease of using the service overall,4.23,4.33,4.35,4.39,4.42,4.39
NETWORK-Frequency of services,3.90,4.03,3.99,3.89,4.12,4.04
OFF BOARD-Accessibility of the station / stop / terminal,4.27,4.35,4.37,4.37,4.34,4.37
OFF BOARD-Availability of information at the station / stop / terminal,4.14,4.27,4.25,4.26,4.29,4.31
OFF BOARD-Cleanliness at the station / stop / terminal,4.13,4.17,4.17,4.17,4.19,4.20
OFF BOARD-Convenience of starting location,4.25,4.31,4.31,4.34,4.28,4.34
OFF BOARD-Feeling safe at the station / stop / terminal,4.21,4.33,4.27,4.27,4.29,4.32
OFF BOARD-Helpfulness of staff members,4.30,4.32,4.13,4.29,4.35,4.39
OFF BOARD-The design of off-board facilities,4.00,4.07,4.08,4.08,4.06,4.13
OFF BOARD-The ease of transferring between services,4.16,4.25,4.28,4.28,4.26,4.36
ON BOARD-Accessibility,4.41,4.43,4.44,4.48,4.40,4.45
ON BOARD-Availability of information on-board,4.05,4.22,4.28,4.22,4.27,4.34
ON BOARD-Availability of seating,4.21,4.27,4.27,4.28,4.20,4.20
ON BOARD-Cleanliness on board,4.24,4.30,4.29,4.26,4.27,4.32
ON BOARD-Comfort of the ride,4.24,4.25,4.31,4.33,4.24,4.31
ON BOARD-Comfort on-board,4.17,4.22,4.25,4.26,4.18,4.25
ON BOARD-Cost of the trip,4.77,4.78,4.80,4.77,4.82,4.80
ON BOARD-Feeling safe on board,4.30,4.31,4.31,4.36,4.28,4.37
ON BOARD-Friendliness or helpfulness of the driver,4.23,4.30,4.33,4.27,4.36,4.34
ON BOARD-Journey time,4.22,4.31,4.37,4.31,4.35,4.36
ON BOARD-Punctuality,4.20,4.29,4.36,4.29,4.33,4.36
OVERALL-Experience on last trip,4.11,4.23,4.22,4.24,4.24,4.29
OVERALL-Overall experience with the network,3.97,4.17,4.21,4.19,4.15,4.22
